q0001,世界最古の人類を何というか。カタカナで答えなさい。,サヘラントロプスチャデンシス
q0321,１３世紀の終わり、チンギスハンの死後分割された領土のうち、元を建国した人物は誰か。,フビライ/フビライハン/フビライ・ハン
q0322,１３世紀の終わり、フビライが建国した国とは何か。,元
q0323,フビライが元の都として造営した街はどこか。,大都
q0324,フビライにより支配下に置かれ服属した朝鮮半島の国はどこか。,高麗
q0325,中世のヨーロッパとアジアを行き来したイスラム教徒の商人たちを何というか。,ムスリム商人/イスラム商人
q0326,フビライに仕えたイタリア人商人とは誰か。,マルコポーロ/マルコ・ポーロ
q0327,マルコポーロが著した、アジアでの経験を記した記録を何というか。,東方見聞録
q0328,東方見聞録の中で紹介された際、日本は何という国名で紹介されたか。,ジパング
q0329,奥州藤原氏により建立され、世界遺産にも登録されている金色の寺院を何というか。,中尊寺金色堂
q0330,１３世紀末、モンゴル帝国が分裂すると現在のトルコ周辺で建国されたイスラム教国家を何というか。,オスマン帝国
q0331,１６世紀、インド周辺で建国されたイスラム教国家を何というか。,ムガル帝国
q0332,１３世紀限からの服属要求を拒否した執権とは誰か。,北条時宗
q0333,１３世紀２度にわたる元の襲来を何というか。,元寇
q0334,１２７４年、高麗の軍を中心とした元の襲来を何というか。,文永の役
q0335,文永の役の際に、日本側が苦戦した元軍が用いた火器を何というか。,てつはう
q0336,カトリック教会の長で西ヨーロッパに強い力を持った人物とは誰か。,ローマ教皇
q0337,１２８１年に再び高麗の軍に元軍を加えて日本に元が襲来した出来事を何というか。,弘安の役
q0338,元寇が終わり、十分な恩賞を得られず生活に困窮する御家人のために幕府が出した命令を何というか。,徳政令/永仁の徳政令
q0339,幕府や朝廷などの勢力に実力で反抗する人々を何というか。,悪党
q0340,１３３３年、鎌倉幕府倒幕をかかげて挙兵した天皇とは誰か。,後醍醐天皇
q0341,後醍醐天皇とともに挙兵した河内の豪族とは誰か。,楠木正成
q0342,幕府を裏切り、楠木正成とともに六波羅探題を滅ぼした人物は誰か。,足利尊氏
q0343,後醍醐天皇の挙兵に合わせ、鎌倉幕府を滅ぼした御家人とは誰か。,新田義貞
q0344,１３３３年鎌倉幕府を滅ぼし、後醍醐天皇が始めた天皇中心の政治を何というか。,建武の新政
q0345,鎌倉幕府後滅ぼされ政治の中心が京都に移ると東日本の監視や支配を任された役所を何というか。,鎌倉府
q0346,足利氏が任された、鎌倉府の長官職を何というか。,鎌倉公方
q0347,武士を軽視した政治に反発が発生し、奈良と京都の２か所に朝廷が分裂した時期を何というか。,南北朝時代
q0348,南北朝時代をむかえる際に、後醍醐天皇が逃げた場所とはどこか。,吉野
q0349,幕府は倒れたものの政治の乱れが広がり、出された風刺文を何というか。,二条河原の落書/二条河原落書
q0350,南北朝を合一させた室町幕府３代将軍とは誰か。,足利義満
q0351,足利義満が室町に建てた邸宅を何というか。,花の御所
q0352,足利義満が就いた朝廷での役職は何か。,太政大臣
q0353,室町幕府において将軍の補佐役として３つの家で持ち回った役職を何というか。,管領
q0354,各地を任されていた守護が地域での権限を強化され、国内の武士らをまとめて力を持つようになった人々を何というか。,守護大名
q0355,幕府の収入減の一つとして、貨幣の貸し借りで得た収入の一部を税として納めていた仕事を何というか。,酒屋
q0356,幕府の収入減の一つとして、商品を鑑定し、それに見合った貨幣を貸し出す仕事を何というか。,土倉
q0357,１４世紀にモンゴル民族を大陸の北部に追いやり再び漢民族によって作られた国を何というか。,明
q0358,明を建国した人物は誰か。,朱元璋
q0359,明建国後、日本が朝貢の形で行った貿易を何というか。,日明貿易/勘合貿易
q0360,１４世紀大陸沿岸を荒らし、貿易船を襲った集団を何というか。,倭寇
q0361,正式な貿易相手か倭寇かを見分けるために用いたものとは何か。,勘合
q0362,勘合貿易で日本が輸入していたものの一つで、市場でも利用された貨幣を何というか。,明銭/宋銭
q0363,１４世紀末、朝鮮半島で高麗を倒し、新たに建国された国とは何か。,朝鮮国/李氏朝鮮
q0364,１４世紀末朝鮮国を建国した人物とは誰か。,李成桂
q0365,朝鮮国が建国され、これまでの中国の文化から脱却し新たに創られた文字を何というか。,ハングル/ハングル文字
q0366,１２世紀ごろ、沖縄に多くあった豪族ごとの拠点を何というか。,グスク
q0367,１４世紀沖縄で勢力争いをしたのは、中山・南山とどこか。,北山
q0368,１４世紀沖縄で勢力争いをしたのは、北山・南山とどこか。,中山
q0369,１４世紀沖縄で勢力争いをしたのは、中山・北山とどこか。,南山
q0370,１５世紀初め、沖縄を統一したのはどの勢力か。,中山
q0371,１５世紀初め、沖縄を統一した王の一族とは何か。,尚氏
q0372,１５世紀初め、尚氏が建国した国とはどこか。,琉球王国
q0373,１５世紀初め、建国された琉球王国の首都はどこか。,首里
q0374,産業に乏しい琉球王国は、どのような手段で発展を遂げたか。,中継貿易
q0375,古くから、北海道地方で生活していた先住民族とは何か。,アイヌ民族/アイヌ
q0376,１４世紀、和人がアイヌ民族との交易で拠点としていた場所はどこか。,十三湊
q0377,１５世紀半ば、和人の不当な交易に立ち上ったアイヌ民族の首長は誰か。,コシャマイン
q0378,室町時代に入り農業技術が進歩し、肥料として牛馬のふんなどを用いるようになった。これを何というか。,堆肥
q0379,農業技術の進歩の中で作られるようになった。麻や藍や茶・桑などの作物を何というか。,商品作物
q0380,手工業の発展の中で京都で絹織物が織られるようになったのはどこか。,西陣
q0381,手工業の発展の中で九州で絹織物が織られるようになったのはどこか。,博多
q0382,手工業の中で、溶かした鉄を型に流しこんで作るものを何というか。,鋳物/鋳物業
q0383,室町時代に生まれた産業で、荷車を用いて運搬を行う仕事を何というか。,車借
q0384,室町時代に生まれた産業で、馬を用いて運搬を行う仕事を何というか。,馬借
q0385,室町時代に生まれた産業で、船を用いて運搬する仕事を何というか。,問/問丸
q0386,同業者で団体を組み、権力者に税を渡す代わりに営業の独占権を認められるものを何というか。,座
q0387,京都や博多、堺などの商業都市で、税を納めるかわりに自治を認められた者を何というか。,町衆
q0388,京都の町衆たちの尽力で復活した祭りとは何か。,祇園祭
q0389,室町時代、村ごとに組織された自治組織を何というか。,惣
q0390,村の自治を行う際に惣ごとで集まり開かれる話し合いを何というか。,寄合
q0391,寄合などで決められる村ごとの決まりを何というか。,掟
q0392,惣を組むなど団結した農民らが、自らの生活の苦しさの改善を求めて起こす争いを何というか。,土一揆
q0393,１４２８年に近江の馬借と農民らが中心になり、徳政を要求した出来事を何というか。,正長の土一揆
q0394,１４世紀初めに発展した、これまでの武士の文化に貴族の華やかさや豪華さ、禅宗の影響を受けた文化を何というか。,北山文化
q0395,１５世紀に発展した、わび・さびや禅宗の影響など質素で精神性を重視した文化を何というか。,東山文化
q0396,北山文化の中で流行した、上の句と下の句を歌い継ぐものを何というか。,連歌
q0397,幕府の保護を受けて世阿弥・観阿弥父子が大成した芸能とは何か。,能
q0398,幕府の保護を受け能を大成したのは、観阿弥と誰か。,世阿弥
q0399,幕府の保護を受け能を大成したのは、世阿弥と誰か。,観阿弥
q0400,３代将軍足利義満が鹿苑寺に建てた別荘を何というか。,金閣
q0401,３代将軍足利義満が金閣を建てた寺院とはどこか。,鹿苑寺
q0402,８代将軍足利義政が、慈照寺に建てた別荘とは何か。,銀閣
q0403,８代将軍足利義政が、銀閣を建てた寺院とはどこか。,慈照寺
q0404,違い棚や床の間など、現在の和室につながる建築様式を何というか。,書院造
q0405,書院造の床の間などに飾られた墨一色で自然の風景などを描く絵画を何というか。,水墨画
q0406,明に渡り、水墨画の技法を学び日本に伝えた僧とは誰か。,雪舟
q0407,水を使わず、石や砂などで風景を描いた庭園を何というか。,枯山水
q0408,室町時代の枯山水などの庭園づくりを行った人々を何というか。,河原者
q0409,能と能の間に演じられた人間の滑稽なさまを演じる芸能を何というか。,狂言
q0410,室町時代の民衆の憧れなどを物語化した話を何というか。,御伽草子
q0411,関東の守護大名が保護して、全国から人々が集まり儒学を学んだ栃木県にある学校を何というか。,足利学校
q0412,室町幕府の将軍が５代目で途絶えて、くじ引きにより決められた６代目の将軍とは誰か。,足利義教
q0413,１４６７年、８代目将軍の後継ぎと、有力守護大名の後継ぎ争いなども絡んで発生した争いを何というか。,応仁の乱
q0414,応仁の乱の中心になった守護大名は細川氏と誰か。,山名氏
q0415,応仁の乱の中心になった守護大名は山名氏と誰か。,細川氏
q0416,幕府の弱体化もあり、自らの自治を求め、京都南部で国人らが中心になり守護大名を倒し８年間自治を行ったできごとを何というか。「,山城国一揆/山城の国一揆
q0417,石川県を中心に浄土真宗信者が集まり、守護大名を追放し１００年間自治を行ったできごとを何というか。,加賀の一向一揆
q0418,一向一揆の中心になった一向宗とは何宗の信者か。,浄土真宗
q0419,実力のあるものが、自らの力で上の身分の者を倒して実権を握ることを何というか。,下剋上
q0420,応仁の乱以降、幕府が力を失い各地で大名らが戦った時代を何というか。,戦国時代
q0421,守護大名などから土地を奪い取ったり、自身の土地を守り抜くななどした人々を何というか。戦国大名,戦国大名
q0422,これまでの山城とは異なり、ふもとの平地に城を建て、家臣や商工業などを集めた町を何というか。,城下町
q0423,各戦国大名らが、自国の領内でのみ効力を発揮するきまりを何というか。,分国法
q0424,各戦国大名らの経済を支えたものの一つで、島根県で多くの銀が採掘された場所はどこか。,石見銀山
q0425,元々、山梨県周辺を任された守護大名で、のちに戦国大名になった一族とは何か。,武田氏
q0426,元々は、中国地方の一地方の豪族だったが、自らの知略で中国地方一帯を支配した一族とは何か。,毛利氏
